"No.","Time","Source","Destination","Protocol","Length","Info"
"975474","6162.677930","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"975475","6162.678222","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"975480","6162.686880","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 94%"
"975525","6162.943118","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 100%"
"975526","6162.943454","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"975535","6162.951671","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 100%"
"977380","6174.615806","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Pushed)"
"977383","6174.642084","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PAUSE (Released)"
"977405","6174.775866","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Pushed)"
"977411","6174.820874","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PAUSE (Released)"
"977695","6177.087103","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Pushed)"
"977699","6177.108337","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - PLAY (Released)"
"977717","6177.223855","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Pushed)"
"977726","6177.293852","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","17","Sent Pass Through: Accepted - PLAY (Released)"
"978169","6179.515722","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 94%"
"978170","6179.515999","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"978174","6179.524242","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 94%"
"978297","6180.154478","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 88%"
"978298","6180.154814","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"978302","6180.163028","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 88%"
"978347","6180.406978","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 81%"
"978348","6180.407172","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"978358","6180.428049","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 81%"
"978405","6180.696984","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"978406","6180.697287","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"978413","6180.705684","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 75%"
"978414","6180.708209","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 69%"
"978415","6180.708524","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"978423","6180.715551","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 69%"
"978475","6181.015737","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 62%"
"978477","6181.016098","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
