"No.","Time","Source","Destination","Protocol","Length","Info"
"938927","5861.937632","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"938932","5861.955055","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 25%"
"939094","5863.034890","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 19%"
"939095","5863.035226","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"939101","5863.059887","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 19%"
"939332","5864.513619","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 25%"
"939333","5864.513905","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"939346","5864.542517","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 25%"
"939479","5865.487506","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 19%"
"939480","5865.487811","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"939491","5865.553901","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 19%"
"939971","5868.782764","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Pushed)"
"939972","5868.783092","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Pushed)"
"939980","5868.827655","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - BACKWARD (Released)"
"939981","5868.827842","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - BACKWARD (Released)"
